1;АДМІНІСТРАТИВНЕ УПРАВЛІННЯ;ГД;;
1.10;ОРГАНІЗАЦІЯ ПРОЦЕСІВ УПРАВЛІННЯ;ГД (ЗГДЯУ);СЯ;КВЛУ, підрозділи
1.10.10;(Організація (формування) системи управління);ГД (ЗГДЯУ);СЯ;ВТС, ПЕУ, підрозділи
1.10.20;Управління цілями і розвитком. Планування;ЗГДЯУ;СЯ;КВЛУ, підрозділи
1.10.30;(Встановлення політик, цілей, завдань);ЗГДЯУ;ЗВ, СІТ;КВЛУ, підрозділи
1.10.40;Управління організаційною структурою і функціями;ГД;ЮВ;КВЛУ, підрозділи
1.10.50;Управління інформаційними потоками;ГД;ВЗПК;КВЛУ, підрозділи
1.20;Правове забезпечення ;ГД;;
1.20.10;Антикорупційна діяльність ;ГД;ЮВ;КВЛУ, підрозділи
1.20.20;ОРГАНІЗАЦІЯ ЗОВНІШНІХ ВЗАЄМИН;КВЛУ);СВНіПБ;підрозділи
1.20.30;Відносини з органами державної влади;ГД;ВРГіЗМІ;КВЛУ, підрозділи
1.20.40;Відносини з органами державного регулювання і нагляду ;ГД (ЗГДЯУ);ВМСТД;КВЛУ, підрозділи
1.20.50;Відносини з громадськістю і засобами масової інформації;ГД (КВЛУ);–;КВЛУ, підрозділи
1.20.60;Міжнародні відносини;ГД (КВЛУ);–;КВЛУ, підрозділи
1.20.70;Відносини з постачальниками;ГД (ГІС);ВТС;–
1.30;Відносини з партнерами;ЗГДЯУ, ГІН (КВЛУ);СЯ, ВОНС, СОП;підрозділи
1.30.10;Відносини на ринку електричної енергії;ЗГДЯУ, ГІН (КВЛУ);СЯ, ВОНС, СОП;підрозділи
1.30.20;ФУНКЦІОНУВАННЯ ІНТЕГРОВАНОЇ СИСТЕМИ УПРАВЛІННЯ;ЗГДЯУ (КВЛУ);–;підрозділи
1.30.30;Забезпечення функціонування інтегрованої системи управління;ЗГДЯУ;СЯ, ВОНС, СОП;КВЛУ, підрозділи
1.30.20;Управління невідповідностями. Коригувальні дії;ЗГДЯУ (КВЛУ);–;підрозділи
1.30.30;Оцінка інтегрованої системи управління ;ЗГДЯУ;СЯ, ВОНС, СОП;КВЛУ, підрозділи
1.40;УПРАВЛІННЯ ДОКУМЕНТАЦІЄЮ;ЗГДЯУ;ВТС, ЗВ;КВЛУ, підрозділи
1.40.10;Управління нормативною, виробничою документацією та записами;ГІС (ЗГДЯУ);ВТС, ЗВ;КВЛУ, підрозділи
1.40.20;Загальне діловодство;ЗГДЯУ;ЗВ;КВЛУ, підрозділи
1.40.30;Управління проектною, конструкторською документацією;ГІС;КТВ;КВЛУ, підрозділи
2;УПРАВЛІННЯ ВИРОБНИЧИМИ ПРОЦЕСАМИ;ГІС;;
2.10;ЕКСПЛУАТАЦІЯ ТЕХНОЛОГІЧНОГО КОМПЛЕКСУ;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.05;Планування і облік виробництва;ГІС ;ВТС;КВЛУ, підрозділи
2.10.10;Організація оперативної експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.15;Організація робіт на обладнанні та системах (виведення з роботи, введення в роботу);ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.20;Управління технологічними процесами експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.25;Технічне обслуговування;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.40;Випробування, опробування, перевірки обладнання та систем;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.50;Управління порушеннями режимів нормальної експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.55;Розслідування та облік експлуатаційних та малозначних подій в роботі АЕС (змінено зм. № ;ГІС, ГІН;СГТ, СВНіПБ;підрозділи-власники
2.10.70;Організація відносин при роботі в енергомережах;ГІС;ВТС;підрозділи-власники
2.10.80;Експлуатація будівель і споруд;ГІС (ЗГІТІ);ВЕБтаС;підрозділи-власники
2.10.90;Виробництво лікарського засобу (кисню медичного газоподібного) (долучено зм. №;ГІС (ЗГІЗО);ЦЗС;ХЦ
2.20;ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ ТА РЕМОНТ;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.10;Організація і координація ТОіР;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.15;Планування ТОіР;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.20;Управління технологічними процесами ремонту, модернізації систем і елементів;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.25;Технічне обслуговування;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.30;Зварювання, наплавлення, термообробка;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.35;Контроль металу та зварних з'єднань;ГІС;ВКМ;підрозділи-власники
2.20.40;Технічний контроль, випробування та перевірки;ЗГДЯУ;ВТК;підрозділи-власники
2.20.50;Виготовлення елементів для потреб ТОіР, модернізації;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.60;Застосування оснащення, пристосувань, пристроїв;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.70;Пусконалагоджувальні роботи після ремонту, модернізації систем і елементів;ГІС (ЗГІР);ВППР;підрозділи-власники
2.30;ПОВОДЖЕННЯ З ЯДЕРНИМ ПАЛИВОМ;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.10;Управління активною зоною реактора;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.15;Контроль герметичності оболонок ТВЕЛ;ГІС (ЗГІЯРБ);ЦРБ;РЦ, ЕРП, ВЯБ
2.30.20;Організація робіт зі свіжим і відпрацьованим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.21;Поводження зі свіжим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.22;Поводження з відпрацьованим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.30;Облік і контроль ядерних матеріалів;ГІС (ЗГІЯРБ);ВЯБ;ЦТАВ, ЦРБ, СГМ, ВКМ
2.30.40;Зберігання відпрацьованого ЯП в СВЯП;ГІС (ЗГІЯРБ);ВЯБ;ЕРП
2.40;Поводження З РАДІОАКТИВНИМИ ВІДХОДАМИ;ГІС (ЗГІЗО, ЗГІЕ);ЦДПРВ, ХЦ;підрозділи
2.40.10;Збір, пакування, переробка, транспортування радіоактивних відходів;ГІС (ЗГІЗО, ЗГІЕ;ЦДПРВ, ХЦ);підрозділи
2.40.30;Облік і контроль радіоактивних відходів;ГІС (ЗГІЗО, ЗГІЕ);ЦДПРВ, ХЦ);підрозділи
2.40.40;Зберігання радіоактивних відходів у тимчасових сховищах (включаючи експлуатацію сховищ);ГІС (ЗГІЗО, ЗГІЕ;ЦДПРВ, ХЦ;підрозділи
