НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
4004,4005,13.08.2003,УКС,С,61,МАШЗАЛ. ОГНЕЗАЩИТА ФЕРМ МАШЗАЛА ППР,ОППР,МЗ,1,Р,Проект производства работ для строительства,,607137
4006,4007,02.09.2003,УКС,Т,43-309,Уравномеры для замера уровня в баках СВО и ХЖО,ОППР,СК,1,Р,Чертеж,43-309.205.001.СО01,137955т
4006,4008,02.09.2003,УКС,Т,43-309,Уравномеры для замера уровня в баках СВО и ХЖО,ОППР,СК,1,Р,Спецификация оборудования (в составе документации на автоматизированные системы),43-309.205.001.СО01.С,137956т
4006,4009,02.09.2003,УКС,Т,43-309,Уравномеры для замера уровня в баках СВО и ХЖО,ОППР,СК,1,Р,Смета локальная (к узлу),68р.1/231В-3,34323т
3960,4010,26.02.1993,УКС,,,"РО ИЗМЕНЕНИЕ СХЕМЫ БЛОКИРОВОК СОГЛАСНО TQ32,33(42,43,52,53) РЕГЛАМЕНТА",ЦТАИ,РО,1,Р,Чертеж,ГАН-0554/АСУ,
4011,4012,24.08.1990,,Т,,Реконструкия. Негерметичная часть,УПТК,РО,1,Р,"Трубопроводы (трубопроводы, узлы трубопроводов, монтажно-сборочные и монтажно-трассировочные чертежи трубопроводов, маслопроводы, паропроводы и т.п.)",210006.0445527.40001.400.ТМ01,124198т
4011,4013,24.08.1990,,Т,,Реконструкия. Негерметичная часть,УПТК,РО,1,Р,Смета,,10А. 1/8т
4014,4015,23.04.1990,,,0317-кр,Устройство ввода и перемешивания растворов при химической промывке ПГВ-1000,ХЦ,блок 1,1,Р,Чертеж,320-э3.01-14.01.000СБ,
4016,4017,11.07.1990,,Т,,Тепломеханическая часть двух РДЭСО,УПТК,РДЭС,1,Р,Схема,9869.12-01-63.Т6,
4016,4018,11.07.1990,,Т,,Тепломеханическая часть двух РДЭСО,УПТК,РДЭС,1,Р,,,
4016,4019,11.07.1990,,Т,,Тепломеханическая часть двух РДЭСО,,РДЭС,1,Р,,,
4020,4021,14.08.1990,,ВО,,Фильтр-адсорбер,,блок 1,1,Р,Чертеж,ВГ37.01.00.ВО,
4022,4023,24.08.1990,,,,Негерметичная часть. Дополнительные баки,,РО,1,Р,Дополнительные материалы по анализу безопасности,210006.0413341.40001.470.КМ.031,124151с
4024,4025,24.08.1990,УКС,С,,"Баки до отметки 10,8",,РО,1,Р,Чертеж,210006.0413341.40001.470.КМ.02,124152с
4026,4027,24.08.1990,УКС,С,,Негерметичная часть. Насос в помещении А119,,РО,1,Р,Чертеж,210006.0442141.40001.570.КМ.01,124171с
4028,4029,24.08.1990,УКС,С,,Герметичный объем. Баки под оболочкой. Бак дыхательный промконтиура,,РО,1,Р,Чертеж,210006.0417241.40001.570.КМ.01,124153с
4030,4031,24.08.1990,УКС,Т,,Герметичная часть. Трубопроводы слива запирающей воды от гидроциклонов ГЦН,,РО,1,Р,Чертеж,210006.0445227.40001.400.ТМ.01,124158т
4030,4032,24.08.1990,УКС,Т,,Герметичная часть. Трубопроводы слива запирающей воды от гидроциклонов ГЦН,,РО,1,Р,Смета,,10А.1/11т
4033,4034,24.08.1990,УКС,Т,,Герметичная часть. Трубопроводы выхлопа предохранительных клапанов САО3,,РО,2,Р,Чертеж,210006.0445227.40002.400.ТМ.02,124157т
4035,4036,24.08.1990,,Т,,Герметичная часть. Трубопроводы байпасной очистки воды І контура,,РО,1,Р,Чертеж,210006.0445227.40001.400.ТМ.05,124199т
4035,4037,24.08.1990,,Т,,Герметичная часть. Трубопроводы байпасной очистки воды І контура,,РО,1,Р,Смета,,10А 1/9т
4038,4039,24.08.1990,,К,,Замена УЛУ2-ЭВМ на УЛУ2-МПК,,ТО,3,Р,Чертеж,210006.0455035.00003.470.АТ.04,124108к
